ubigeo,year,population
021603,1992,7231
021603,1993,7201
021603,1994,7172
021603,1995,7149
021604,1990,2885
021604,1991,2875
021604,1992,2862
021604,1993,2847
021604,1994,2833
021604,1995,2822
021701,1990,6807
021701,1991,6646
021701,1992,6481
021701,1993,6318
021701,1994,6153
021701,1995,5992
021702,1990,4133
021702,1991,4164
021702,1992,4195
021702,1993,4225
021702,1994,4256
021702,1995,4287
021703,1990,635
021703,1991,631
021703,1992,627
021703,1993,624
021703,1994,620
021703,1995,616
021704,1990,975
021704,1991,962
021704,1992,950
021704,1993,937
021704,1994,925
021704,1995,912
021705,1990,936
021705,1991,933
021705,1992,931
021705,1993,928
021705,1994,926
021705,1995,923
021706,1990,1335
021706,1991,1308
021706,1992,1281
021706,1993,1253
021706,1994,1226
021706,1995,1199
021707,1990,1054
021707,1991,1066
021707,1992,1078
021707,1993,1091
021707,1994,1103
021707,1995,1115
021708,1990,1062
021708,1991,1072
021708,1992,1082
021708,1993,1093
021708,1994,1103
021708,1995,1113
021709,1990,706
021709,1991,700
021709,1992,695
021709,1993,689
021709,1994,684
021709,1995,678
021710,1990,3296
021710,1991,3171
021710,1992,3047
021710,1993,2922
021710,1994,2798
021710,1995,2673
021801,1990,214971
021801,1991,218779
021801,1992,221655
021801,1993,224271
021801,1994,227288
021801,1995,231376
021802,1990,6289
021802,1991,6331
021802,1992,6366
021802,1993,6397
021802,1994,6428
021802,1995,6460
021803,1990,13470
021803,1991,13631
021803,1992,13779
021803,1993,13920
021803,1994,14063
021803,1995,14214
021804,1990,5064
021804,1991,5087
021804,1992,5103
021804,1993,5117
021804,1994,5131
021804,1995,5148
021805,1990,7040
021805,1991,7211
021805,1992,7380
021805,1993,7548
021805,1994,7718
021805,1995,7895
021806,1990,11913
021806,1991,11959
021806,1992,12024
021806,1993,12099
021806,1994,12178
021806,1995,12254
021807,1990,3633
021807,1991,3698
021807,1992,3760
021807,1993,3821
021807,1994,3883
021807,1995,3948
021808,1990,14349
021808,1991,14553
021808,1992,14745
021808,1993,14931
021808,1994,15118
021808,1995,15312
021809,1990,63530
021809,1991,64653
021809,1992,65500
021809,1993,66269
021809,1994,67162
021809,1995,68379
021901,1990,5533
021901,1991,5561
021901,1992,5591
021901,1993,5622
021901,1994,5652
021901,1995,5680
021902,1990,1723
021902,1991,1755
021902,1992,1787
021902,1993,1818
021902,1994,1850
021902,1995,1882
021903,1990,1171
021903,1991,1161
021903,1992,1151
021903,1993,1140
021903,1994,1130
021903,1995,1120
021904,1990,3679
021904,1991,3690
021904,1992,3702
021904,1993,3713
021904,1994,3725
021904,1995,3736
021905,1990,1462
021905,1991,1459
021905,1992,1455
021905,1993,1452
021905,1994,1448
021905,1995,1445
021906,1990,4583
021906,1991,4588
021906,1992,4592
021906,1993,4597
021906,1994,4601
021906,1995,4606
021907,1990,2852
021907,1991,2856
021907,1992,2860
021907,1993,2863
021907,1994,2867
021907,1995,2871
021908,1990,3181
021908,1991,3193
021908,1992,3205
021908,1993,3217
021908,1994,3229
021908,1995,3241
021909,1990,6395
021909,1991,6452
021909,1992,6508
021909,1993,6565
021909,1994,6621
021909,1995,6678
021910,1990,2253
021910,1991,2235
021910,1992,2217
021910,1993,2199
021910,1994,2181
021910,1995,2163
022001,1990,17302
022001,1991,17518
022001,1992,17755
022001,1993,18013
022001,1994,18285
022001,1995,18568
022002,1990,1746
022002,1991,1772
022002,1992,1797
022002,1993,1820
022002,1994,1843
022002,1995,1865
022003,1990,7779
022003,1991,7877
022003,1992,7968
022003,1993,8053
022003,1994,8134
022003,1995,8214
022004,1990,1259
022004,1991,1280
022004,1992,1299
022004,1993,1318
022004,1994,1337
022004,1995,1355
022005,1990,9364
022005,1991,9596
022005,1992,9826
022005,1993,10052
022005,1994,10273
022005,1995,10488
022006,1990,3016
022006,1991,3092
022006,1992,3168
022006,1993,3243
022006,1994,3316
022006,1995,3387
022007,1990,2288
022007,1991,2320
022007,1992,2351
022007,1993,2379
022007,1994,2407
022007,1995,2434
022008,1990,7194
022008,1991,7289
022008,1992,7376
022008,1993,7459
022008,1994,7538
022008,1995,7618
030101,1990,45830
030101,1991,48258
030101,1992,50728
030101,1993,53193
030101,1994,55591
030101,1995,57873
030102,1990,1485
030102,1991,1483
030102,1992,1482
030102,1993,1480
030102,1994,1479
030102,1995,1477
030103,1990,3151
030103,1991,3157
030103,1992,3167
030103,1993,3180
030103,1994,3197
030103,1995,3217
030104,1990,16114
030104,1991,16330
030104,1992,16480
030104,1993,16613
030104,1994,16780
030104,1995,17031
030105,1990,5021
030105,1991,5021
030105,1992,5022
030105,1993,5022
030105,1994,5023
030105,1995,5023
030106,1990,5308
030106,1991,5322
030106,1992,5339
030106,1993,5360
030106,1994,5387
030106,1995,5421
030107,1990,5407
030107,1991,5442
030107,1992,5475
030107,1993,5510
030107,1994,5549
030107,1995,5597
030108,1990,3885
030108,1991,3899
030108,1992,3913
030108,1993,3927
030108,1994,3941
030108,1995,3955
030109,1990,4848
030109,1991,4953
030109,1992,5041
030109,1993,5125
030109,1994,5217
030109,1995,5329
030201,1990,25483
030201,1991,25989
030201,1992,26373
030201,1993,26724
030201,1994,27127
030201,1995,27669
030202,1990,7156
030202,1991,7138
030202,1992,7120
030202,1993,7102
030202,1994,7084
030202,1995,7066
030203,1990,1602
030203,1991,1612
030203,1992,1620
030203,1993,1628
030203,1994,1637
030203,1995,1651
030204,1990,7822
030204,1991,7842
030204,1992,7848
030204,1993,7851
030204,1994,7863
030204,1995,7895
030205,1990,4941
030205,1991,4936
030205,1992,4931
030205,1993,4926
030205,1994,4921
030205,1995,4916
030206,1990,1142
030206,1991,1137
030206,1992,1132
030206,1993,1127
030206,1994,1122
030206,1995,1117
030207,1990,7027
030207,1991,7151
030207,1992,7249
