year,province,population
1995,0101,48341
1995,0102,80940
1995,0103,22490
1995,0104,37567
1995,0105,49640
1995,0106,22669
1995,0107,112921
1995,0201,130089
1995,0202,8883
1995,0203,20043
1995,0204,10307
1995,0205,28590
1995,0206,42352
1995,0207,21881
1995,0208,37988
1995,0209,9304
1995,0210,65910
1995,0211,25216
1995,0212,54171
1995,0213,24797
1995,0214,7000
1995,0215,29214
1995,0216,27447
1995,0217,19508
1995,0218,364986
1995,0219,33422
1995,0220,53929
1995,0301,104923
1995,0302,137226
1995,0303,12504
1995,0304,28871
1995,0305,47749
1995,0306,50787
1995,0307,27578
1995,0401,732415
1995,0402,46068
1995,0403,28927
1995,0404,39034
1995,0405,48056
1995,0406,21518
1995,0407,53008
1995,0408,17843
1995,0501,176576
1995,0502,34932
1995,0503,10588
1995,0504,66887
1995,0505,72679
1995,0506,57647
1995,0507,23558
1995,0508,10513
1995,0509,12848
1995,0510,27394
1995,0511,21871
1995,0601,251069
1995,0602,73602
1995,0603,87732
1995,0604,175401
1995,0605,34494
1995,0606,153352
1995,0607,80142
1995,0608,184583
1995,0609,124062
1995,0610,52293
1995,0611,64540
1995,0612,26558
1995,0613,46760
1995,0701,693606
1995,0801,291595
1995,0802,32157
1995,0803,60639
1995,0804,61039
1995,0805,42433
1995,0806,101239
1995,0807,73895
1995,0808,61385
1995,0809,174006
1995,0810,37229
1995,0811,43737
1995,0812,81606
1995,0813,52055
1995,0901,116727
1995,0902,44503
1995,0903,45343
1995,0904,19622
1995,0905,47357
1995,0906,24106
1995,0907,113513
1995,1001,247279
1995,1002,61523
1995,1003,43119
1995,1004,18980
1995,1005,61663
1995,1006,104963
1995,1007,22078
1995,1008,51877
1995,1009,39089
1995,1010,33914
1995,1011,36108
1995,1101,266230
1995,1102,159493
1995,1103,57276
1995,1104,14527
1995,1105,112561
1995,1201,428990
1995,1202,68629
1995,1203,127621
1995,1204,111530
1995,1205,43305
1995,1206,120319
1995,1207,122752
1995,1208,66023
1995,1209,51336
1995,1301,643473
1995,1302,114923
1995,1303,17642
1995,1304,61793
1995,1305,38144
1995,1306,86912
1995,1307,84230
1995,1308,66835
1995,1309,112558
1995,1310,58579
1995,1311,30478
1995,1312,37528
1995,1401,688410
1995,1402,90673
1995,1403,229111
1995,1501,6117489
1995,1502,119165
1995,1503,9205
1995,1504,11092
1995,1505,162389
1995,1506,135916
1995,1507,59803
1995,1508,171288
1995,1509,17751
1995,1510,27703
1995,1601,437190
1995,1602,93155
1995,1603,58031
1995,1604,38410
1995,1605,56281
1995,1606,55231
1995,1607,42114
1995,1608,8115
1995,1701,53286
1995,1702,18352
1995,1703,7209
1995,1801,61505
1995,1802,19902
1995,1803,55214
1995,1901,139861
1995,1902,38896
1995,1903,69496
1995,2001,538924
1995,2002,137843
1995,2003,123344
1995,2004,173328
1995,2005,81850
1995,2006,246038
1995,2007,132321
1995,2008,44692
1995,2101,210308
1995,2102,147069
1995,2103,51039
1995,2104,96019
1995,2105,81723
1995,2106,86227
1995,2107,45614
1995,2108,76413
1995,2109,34829
1995,2110,31019
1995,2111,187631
1995,2112,52159
1995,2113,50636
1995,2201,81342
1995,2202,39881
1995,2203,27473
1995,2204,24529
1995,2205,74715
1995,2206,57345
1995,2207,29155
1995,2208,80259
1995,2209,133952
1995,2210,84241
1995,2301,212217
1995,2302,9494
1995,2303,12099
1995,2304,8318
1995,2401,126222
1995,2402,14301
1995,2403,30161
1995,2501,286811
1995,2502,37151
1995,2503,44440
1995,2504,3230
1996,0101,49024
1996,0102,83376
1996,0103,23025
1996,0104,38132
1996,0105,50121
1996,0106,22911
1996,0107,115596
1996,0201,132333
1996,0202,8943
1996,0203,20133
1996,0204,10373
1996,0205,28762
1996,0206,42862
1996,0207,21961
1996,0208,38497
1996,0209,9324
1996,0210,66142
1996,0211,25458
1996,0212,55228
1996,0213,25190
1996,0214,7011
1996,0215,29552
1996,0216,27489
1996,0217,19637
1996,0218,368832
1996,0219,33792
1996,0220,54621
1996,0301,107680
1996,0302,138388
1996,0303,12625
1996,0304,29141
1996,0305,48487
1996,0306,51956
1996,0307,27800
1996,0401,747394
1996,0402,46933
1996,0403,29110
1996,0404,39318
1996,0405,48424
1996,0406,21618
1996,0407,53527
1996,0408,17875
1996,0501,176756
1996,0502,34980
1996,0503,10591
1996,0504,67192
1996,0505,73004
1996,0506,57806
1996,0507,23602
1996,0508,10529
1996,0509,12904
1996,0510,27463
1996,0511,21965
1996,0601,256568
1996,0602,74188
1996,0603,88494
1996,0604,178007
1996,0605,34650
1996,0606,154925
1996,0607,80743
1996,0608,188610
1996,0609,126927
1996,0610,53199
1996,0611,65009
1996,0612,27086
1996,0613,47000
1996,0701,708592
1996,0801,295737
1996,0802,32503
1996,0803,61179
1996,0804,61782
1996,0805,42858
1996,0806,101978
1996,0807,74344
1996,0808,62237
1996,0809,177194
1996,0810,37551
1996,0811,44255
1996,0812,82638
1996,0813,52673
1996,0901,117945
1996,0902,44697
1996,0903,45301
1996,0904,19555
1996,0905,47640
1996,0906,24128
1996,0907,114803
1996,1001,253614
1996,1002,62813
1996,1003,43651
1996,1004,19251
1996,1005,62420
1996,1006,106122
1996,1007,22364
1996,1008,53203
1996,1009,40711
1996,1010,34364
1996,1011,36569
1996,1101,271755
1996,1102,161934
1996,1103,57892
1996,1104,14929
1996,1105,114627
1996,1201,436619
1996,1202,68924
1996,1203,129679
1996,1204,111749
1996,1205,44068
1996,1206,123743
1996,1207,123485
1996,1208,65920
1996,1209,51872
1996,1301,657314
1996,1302,115060
1996,1303,17930
1996,1304,62586
1996,1305,38653
1996,1306,87752
1996,1307,85950
1996,1308,67629
1996,1309,114107
1996,1310,58941
1996,1311,30631
1996,1312,38609
1996,1401,702352
1996,1402,92084
1996,1403,233130
1996,1501,6240060
1996,1502,119672
1996,1503,9235
1996,1504,11187
1996,1505,164108
1996,1506,138001
1996,1507,59972
1996,1508,173239
1996,1509,17771
1996,1510,27694
1996,1601,448843
1996,1602,95062
1996,1603,59447
1996,1604,39433
1996,1605,56979
1996,1606,56229
1996,1607,43335
1996,1608,8446
1996,1701,55438
1996,1702,19318
1996,1703,7336
1996,1801,62594
1996,1802,20082
1996,1803,56445
1996,1901,140096
1996,1902,38979
1996,1903,70115
1996,2001,549288
1996,2002,138310
1996,2003,124297
1996,2004,175416
1996,2005,83517
1996,2006,248826
1996,2007,134697
1996,2008,45574
1996,2101,211712
1996,2102,148748
1996,2103,52258
1996,2104,96689
1996,2105,82970
1996,2106,86811
1996,2107,46020
1996,2108,77444
1996,2109,35302
1996,2110,31916
1996,2111,192748
1996,2112,52669
1996,2113,51160
1996,2201,85296
1996,2202,41605
1996,2203,28080
1996,2204,25133
1996,2205,76520
1996,2206,59850
1996,2207,29754
1996,2208,82586
1996,2209,138733
1996,2210,87386
1996,2301,219392
1996,2302,9542
1996,2303,12126
1996,2304,8351
1996,2401,129314
1996,2402,14660
1996,2403,31260
1996,2501,296605
1996,2502,39437
1996,2503,47776
1996,2504,3382
1997,0101,49725
1997,0102,85794
1997,0103,23550
1997,0104,38722
1997,0105,50641
1997,0106,23160
1997,0107,118309
1997,0201,134577
1997,0202,9003
1997,0203,20222
1997,0204,10439
1997,0205,28934
1997,0206,43372
1997,0207,22041
1997,0208,39005
1997,0209,9345
1997,0210,66374
1997,0211,25700
1997,0212,56285
1997,0213,25583
1997,0214,7022
1997,0215,29890
1997,0216,27531
1997,0217,19767
1997,0218,373630
1997,0219,34162
1997,0220,55313
1997,0301,110437
1997,0302,140625
1997,0303,12745
1997,0304,29411
1997,0305,49225
1997,0306,53125
1997,0307,28022
1997,0401,762672
1997,0402,47776
1997,0403,29314
1997,0404,39620
1997,0405,48800
1997,0406,21755
1997,0407,54084
1997,0408,17973
1997,0501,178103
1997,0502,35028
1997,0503,10593
1997,0504,67497
1997,0505,73330
1997,0506,57968
1997,0507,23646
1997,0508,10545
1997,0509,12960
1997,0510,27533
1997,0511,22059
1997,0601,262187
1997,0602,74827
1997,0603,89301
1997,0604,180948
1997,0605,34789
1997,0606,156426
1997,0607,81344
1997,0608,192802
1997,0609,129877
1997,0610,54211
1997,0611,65616
1997,0612,27666
1997,0613,47340
1997,0701,722555
1997,0801,299631
1997,0802,32854
1997,0803,61710
1997,0804,62429
1997,0805,43280
1997,0806,102705
1997,0807,74854
1997,0808,63047
1997,0809,180131
1997,0810,37902
1997,0811,44763
1997,0812,83711
1997,0813,53254
1997,0901,119142
1997,0902,44891
1997,0903,45258
1997,0904,19488
1997,0905,47924
1997,0906,24150
1997,0907,116093
1997,1001,259567
1997,1002,64134
1997,1003,44227
1997,1004,19535
1997,1005,63241
1997,1006,107242
1997,1007,22689
1997,1008,54475
1997,1009,42134
1997,1010,34859
1997,1011,37041
1997,1101,277199
1997,1102,164365
1997,1103,58528
1997,1104,15372
1997,1105,116682
1997,1201,444332
1997,1202,69219
1997,1203,131737
1997,1204,111969
1997,1205,44831
1997,1206,127167
1997,1207,124218
1997,1208,65817
1997,1209,52408
1997,1301,670356
1997,1302,115184
1997,1303,18248
1997,1304,63465
1997,1305,39206
1997,1306,88719
1997,1307,87720
1997,1308,68469
1997,1309,115653
1997,1310,59326
1997,1311,30795
1997,1312,39721
1997,1401,716128
1997,1402,93409
1997,1403,237026
1997,1501,6363987
