ubigeo,year,population
021209,2020,1092
021209,2021,1079
021209,2022,1069
021209,2023,1056.1666666666667
021210,2018,2124
021210,2019,2161
021210,2020,2193
021210,2021,2218
021210,2022,2239
021210,2023,2259.277777777778
021301,2018,3184
021301,2019,3158
021301,2020,3122
021301,2021,3095
021301,2022,3063
021301,2023,3010.1666666666665
021302,2018,4046
021302,2019,4036
021302,2020,4015
021302,2021,3960
021302,2022,3902
021302,2023,3875
021303,2018,1402
021303,2019,1413
021303,2020,1421
021303,2021,1410
021303,2022,1394
021303,2023,1388.6666666666667
021304,2018,2034
021304,2019,2016
021304,2020,1993
021304,2021,1942
021304,2022,1886
021304,2023,1850.5555555555557
021305,2018,1063
021305,2019,1040
021305,2020,1015
021305,2021,989
021305,2022,965
021305,2023,946.1111111111111
021306,2018,6255
021306,2019,6294
021306,2020,6315
021306,2021,6362
021306,2022,6395
021306,2023,6369.333333333333
021307,2018,2910
021307,2019,2894
021307,2020,2870
021307,2021,2831
021307,2022,2787
021307,2023,2748.9444444444443
021308,2018,1041
021308,2019,1040
021308,2020,1036
021308,2021,1018
021308,2022,994
021308,2023,973.0555555555555
021401,2018,1287
021401,2019,1275
021401,2020,1259
021401,2021,1245
021401,2022,1227
021401,2023,1198.3333333333333
021402,2018,701
021402,2019,689
021402,2020,676
021402,2021,640
021402,2022,603
021402,2023,589.4444444444445
021403,2018,318
021403,2019,307
021403,2020,297
021403,2021,286
021403,2022,275
021403,2023,265.1666666666667
021404,2018,489
021404,2019,469
021404,2020,447
021404,2021,420
021404,2022,395
021404,2023,379.55555555555554
021405,2018,1535
021405,2019,1553
021405,2020,1566
021405,2021,1580
021405,2022,1586
021405,2023,1574.1666666666667
021406,2018,1309
021406,2019,1313
021406,2020,1313
021406,2021,1302
021406,2022,1287
021406,2023,1275.7777777777778
021407,2018,285
021407,2019,259
021407,2020,233
021407,2021,230
021407,2022,225
021407,2023,190.33333333333334
021408,2018,460
021408,2019,449
021408,2020,437
021408,2021,411
021408,2022,383
021408,2023,366.3888888888889
021409,2018,643
021409,2019,593
021409,2020,544
021409,2021,496
021409,2022,458
021409,2023,439.5
021410,2018,450
021410,2019,452
021410,2020,452
021410,2021,456
021410,2022,458
021410,2023,451.3333333333333
021501,2018,2619
021501,2019,2608
021501,2020,2588
021501,2021,2558
021501,2022,2522
021501,2023,2484.277777777778
021502,2018,1065
021502,2019,1043
021502,2020,1017
021502,2021,989
021502,2022,959
021502,2023,926.8888888888889
021503,2018,7879
021503,2019,7877
021503,2020,7850
021503,2021,7793
021503,2022,7720
021503,2023,7646.055555555556
021504,2018,552
021504,2019,543
021504,2020,532
021504,2021,520
021504,2022,506
021504,2023,488.8888888888889
021505,2018,1090
021505,2019,1087
021505,2020,1082
021505,2021,1072
021505,2022,1059
021505,2023,1045.2777777777778
021506,2018,537
021506,2019,528
021506,2020,517
021506,2021,505
021506,2022,494
021506,2023,486.05555555555554
021507,2018,633
021507,2019,629
021507,2020,624
021507,2021,618
021507,2022,607
021507,2023,586.7777777777778
021508,2018,2533
021508,2019,2529
021508,2020,2517
021508,2021,2497
021508,2022,2470
021508,2023,2437.0555555555557
021509,2018,4105
021509,2019,3902
021509,2020,3697
021509,2021,3490
021509,2022,3287
021509,2023,3094.3333333333335
021510,2018,1146
021510,2019,1148
021510,2020,1147
021510,2021,1140
021510,2022,1133
021510,2023,1132.5
021511,2018,2863
021511,2019,2835
021511,2020,2800
021511,2021,2754
021511,2022,2704
021511,2023,2657.6111111111113
021601,2018,14881
021601,2019,14928
021601,2020,14933
021601,2021,14886
021601,2022,14818
021601,2023,14762.277777777777
021602,2018,3130
021602,2019,3094
021602,2020,3051
021602,2021,2997
021602,2022,2936
021602,2023,2872.4444444444443
021603,2018,6421
021603,2019,6404
021603,2020,6369
021603,2021,6313
021603,2022,6239
021603,2023,6150.333333333333
021604,2018,2341
021604,2019,2334
021604,2020,2322
021604,2021,2302
021604,2022,2276
021604,2023,2246.277777777778
021701,2018,4614
021701,2019,4577
021701,2020,4527
021701,2021,4455
021701,2022,4374
021701,2023,4298.222222222223
021702,2018,4068
021702,2019,4070
021702,2020,4060
021702,2021,4030
021702,2022,3990
021702,2023,3951
021703,2018,423
021703,2019,409
021703,2020,394
021703,2021,379
021703,2022,362
021703,2023,340.8333333333333
021704,2018,648
021704,2019,614
021704,2020,580
021704,2021,546
021704,2022,511
021704,2023,473.94444444444446
021705,2018,929
021705,2019,893
021705,2020,855
021705,2021,816
021705,2022,776
021705,2023,734.9444444444445
021706,2018,1758
021706,2019,1843
021706,2020,1924
021706,2021,1999
021706,2022,2071
021706,2023,2143.277777777778
021707,2018,947
021707,2019,901
021707,2020,854
021707,2021,808
021707,2022,762
021707,2023,714.8333333333334
021708,2018,1639
021708,2019,1681
021708,2020,1716
021708,2021,1745
021708,2022,1768
021708,2023,1784.9444444444443
021709,2018,447
021709,2019,440
021709,2020,432
021709,2021,423
021709,2022,412
021709,2023,397.94444444444446
021710,2018,2701
021710,2019,2726
021710,2020,2743
021710,2021,2753
021710,2022,2761
