year,ubigeo,population,level
2005,060102,12211,district
2005,060103,4234,district
2005,060104,8477,district
2005,060105,24549,district
2005,060106,15218,district
2005,060107,5154,district
2005,060108,35245,district
2005,060109,9779,district
2005,060110,4111,district
2005,060111,9863,district
2005,060112,5046,district
2005,060200,78467,province
2005,060201,29568,district
2005,060202,25519,district
2005,060203,14019,district
2005,060204,9361,district
2005,060300,93477,province
2005,060301,25568,district
2005,060302,3351,district
2005,060303,8530,district
2005,060304,14242,district
2005,060305,678,district
2005,060306,3197,district
2005,060307,5047,district
2005,060308,6785,district
2005,060309,10594,district
2005,060310,6264,district
2005,060311,1382,district
2005,060312,7839,district
2005,060400,172057,province
2005,060401,48752,district
2005,060402,4569,district
2005,060403,4426,district
2005,060404,5056,district
2005,060405,3567,district
2005,060406,3825,district
2005,060407,7288,district
2005,060408,6806,district
2005,060409,10258,district
2005,060410,13813,district
2005,060411,8769,district
2005,060412,3966,district
2005,060413,5532,district
2005,060414,1773,district
2005,060415,10064,district
2005,060416,1231,district
2005,060417,20109,district
2005,060418,1080,district
2005,060419,11173,district
2005,060500,33747,province
2005,060501,9478,district
2005,060502,3539,district
2005,060503,1724,district
2005,060504,3120,district
2005,060505,3762,district
2005,060506,1264,district
2005,060507,2561,district
2005,060508,8299,district
2005,060600,148651,province
2005,060601,56362,district
2005,060602,11374,district
2005,060603,3846,district
2005,060604,3124,district
2005,060605,5037,district
2005,060606,6852,district
2005,060607,17748,district
2005,060608,5774,district
2005,060609,2385,district
2005,060610,4242,district
2005,060611,3592,district
2005,060612,5878,district
2005,060613,9091,district
2005,060614,11660,district
2005,060615,1686,district
2005,060700,93351,province
2005,060701,71362,district
2005,060702,3825,district
2005,060703,18164,district
2005,060800,193852,province
2005,060801,88569,district
2005,060802,16894,district
2005,060803,10893,district
2005,060804,12641,district
2005,060805,8586,district
2005,060806,4793,district
2005,060807,9079,district
2005,060808,7511,district
2005,060809,8165,district
2005,060810,5952,district
2005,060811,7417,district
2005,060812,13352,district
2005,060900,136833,province
2005,060901,33417,district
2005,060902,14379,district
2005,060903,22158,district
2005,060904,19640,district
2005,060905,10609,district
2005,060906,18588,district
2005,060907,18042,district
2005,061000,54101,province
2005,061001,19964,district
2005,061002,3546,district
2005,061003,2477,district
2005,061004,7677,district
2005,061005,2489,district
2005,061006,4561,district
2005,061007,13387,district
2005,061100,60828,province
2005,061101,16801,district
2005,061102,1869,district
2005,061103,4777,district
2005,061104,3599,district
2005,061105,2327,district
2005,061106,2848,district
2005,061107,5724,district
2005,061108,1477,district
2005,061109,4940,district
2005,061110,2773,district
2005,061111,5066,district
2005,061112,4592,district
2005,061113,4035,district
2005,061200,24926,province
2005,061201,14344,district
2005,061202,5055,district
2005,061203,1565,district
2005,061204,3962,district
2005,061300,46983,province
2005,061301,10396,district
2005,061302,1971,district
2005,061303,10175,district
2005,061304,4240,district
2005,061305,3219,district
2005,061306,3338,district
2005,061307,5401,district
2005,061308,2246,district
2005,061309,542,district
2005,061310,1813,district
2005,061311,3642,district
2005,070000,866877,region
2005,070100,866877,province
2005,070101,428927,district
2005,070102,78144,district
2005,070103,43219,district
2005,070104,64202,district
2005,070105,4854,district
2005,070106,247531,district
2005,080000,1228055,region
2005,080100,375066,province
2005,080101,114373,district
2005,080102,2564,district
2005,080103,4070,district
2005,080104,30331,district
2005,080105,70489,district
2005,080106,88289,district
2005,080107,2639,district
2005,080108,62311,district
2005,080200,29571,province
2005,080201,5772,district
2005,080202,2828,district
2005,080203,2855,district
2005,080204,1897,district
2005,080205,8793,district
2005,080206,3357,district
2005,080207,4069,district
2005,080300,59033,province
2005,080301,17588,district
2005,080302,7303,district
2005,080303,2133,district
2005,080304,5268,district
2005,080305,6189,district
2005,080306,9626,district
2005,080307,3252,district
2005,080308,3636,district
2005,080309,4038,district
2005,080400,68354,province
2005,080401,19787,district
2005,080402,3909,district
2005,080403,5683,district
2005,080404,7717,district
2005,080405,10006,district
2005,080406,5532,district
2005,080407,4499,district
2005,080408,11221,district
2005,080500,41235,province
2005,080501,10434,district
2005,080502,6393,district
2005,080503,5883,district
2005,080504,2902,district
2005,080505,6709,district
2005,080506,2234,district
2005,080507,3430,district
2005,080508,3250,district
2005,080600,103483,province
2005,080601,58482,district
2005,080602,5260,district
2005,080603,5526,district
2005,080604,11947,district
2005,080605,7527,district
2005,080606,5499,district
2005,080607,3281,district
2005,080608,5961,district
2005,080700,79940,province
2005,080701,25930,district
2005,080702,4984,district
2005,080703,8001,district
2005,080704,9415,district
2005,080705,11947,district
2005,080706,6738,district
2005,080707,4509,district
2005,080708,8416,district
2005,080800,66077,province
2005,080801,30979,district
2005,080802,1255,district
2005,080803,16566,district
2005,080804,1830,district
2005,080805,5630,district
2005,080806,4198,district
2005,080807,3043,district
2005,080808,2576,district
2005,080900,177226,province
2005,080901,35599,district
2005,080902,45586,district
2005,080903,6660,district
2005,080904,7584,district
2005,080905,6674,district
2005,080906,15421,district
2005,080907,17684,district
2005,080908,7768,district
2005,080909,18363,district
2005,080910,15887,district
2005,081000,33731,province
2005,081001,3866,district
2005,081002,4202,district
2005,081003,4243,district
2005,081004,1518,district
2005,081005,5993,district
2005,081006,6765,district
2005,081007,2801,district
2005,081008,1473,district
2005,081009,2870,district
2005,081100,48219,province
2005,081101,12736,district
2005,081102,2680,district
2005,081103,10448,district
2005,081104,10112,district
2005,081105,7276,district
2005,081106,4967,district
2005,081200,86927,province
2005,081201,11200,district
2005,081202,5195,district
2005,081203,2251,district
2005,081204,3051,district
2005,081205,14524,district
2005,081206,5145,district
2005,081207,4697,district
2005,081208,4125,district
2005,081209,4903,district
2005,081210,14116,district
2005,081211,6711,district
2005,081212,11009,district
