ubigeo,year,population,level
020501,1992,5011,district
020501,1993,4945,district
020501,1994,4864,district
020501,1995,4763,district
020502,1990,255,district
020502,1991,245,district
020502,1992,234,district
020502,1993,224,district
020502,1994,216,district
020502,1995,211,district
020503,1990,1443,district
020503,1991,1435,district
020503,1992,1423,district
020503,1993,1410,district
020503,1994,1401,district
020503,1995,1398,district
020504,1990,3656,district
020504,1991,3629,district
020504,1992,3593,district
020504,1993,3556,district
020504,1994,3526,district
020504,1995,3511,district
020505,1990,1905,district
020505,1991,1879,district
020505,1992,1849,district
020505,1993,1817,district
020505,1994,1792,district
020505,1995,1776,district
020506,1990,245,district
020506,1991,237,district
020506,1992,229,district
020506,1993,220,district
020506,1994,213,district
020506,1995,209,district
020507,1990,1749,district
020507,1991,1780,district
020507,1992,1809,district
020507,1993,1837,district
020507,1994,1862,district
020507,1995,1885,district
020508,1990,8436,district
020508,1991,8368,district
020508,1992,8330,district
020508,1993,8289,district
020508,1994,8214,district
020508,1995,8073,district
020509,1990,2448,district
020509,1991,2385,district
020509,1992,2315,district
020509,1993,2247,district
020509,1994,2189,district
020509,1995,2152,district
020510,1990,1665,district
020510,1991,1667,district
020510,1992,1669,district
020510,1993,1671,district
020510,1994,1674,district
020510,1995,1676,district
020511,1990,369,district
020511,1991,363,district
020511,1992,356,district
020511,1993,349,district
020511,1994,343,district
020511,1995,339,district
020512,1990,674,district
020512,1991,661,district
020512,1992,647,district
020512,1993,633,district
020512,1994,619,district
020512,1995,606,district
020513,1990,1308,district
020513,1991,1275,district
020513,1992,1237,district
020513,1993,1200,district
020513,1994,1170,district
020513,1995,1152,district
020514,1990,353,district
020514,1991,341,district
020514,1992,327,district
020514,1993,314,district
020514,1994,303,district
020514,1995,296,district
020515,1990,744,district
020515,1991,697,district
020515,1992,649,district
020515,1993,604,district
020515,1994,567,district
020515,1995,543,district
020600,1990,39768,province
020600,1991,40285,province
020600,1992,40802,province
020600,1993,41318,province
020600,1994,41835,province
020600,1995,42352,province
020601,1990,11536,district
020601,1991,11628,district
020601,1992,11744,district
020601,1993,11873,district
020601,1994,12008,district
020601,1995,12131,district
020602,1990,2343,district
020602,1991,2373,district
020602,1992,2403,district
020602,1993,2432,district
020602,1994,2462,district
020602,1995,2492,district
020603,1990,1814,district
020603,1991,1841,district
020603,1992,1865,district
020603,1993,1889,district
020603,1994,1913,district
020603,1995,1939,district
020604,1990,2363,district
020604,1991,2385,district
020604,1992,2405,district
020604,1993,2423,district
020604,1994,2440,district
020604,1995,2457,district
020605,1990,1764,district
020605,1991,1799,district
020605,1992,1833,district
020605,1993,1867,district
020605,1994,1900,district
020605,1995,1934,district
020606,1990,7756,district
020606,1991,7851,district
020606,1992,7937,district
020606,1993,8018,district
020606,1994,8098,district
020606,1995,8183,district
020607,1990,1438,district
020607,1991,1443,district
020607,1992,1445,district
020607,1993,1447,district
020607,1994,1449,district
020607,1995,1454,district
020608,1990,2252,district
020608,1991,2294,district
020608,1992,2335,district
020608,1993,2374,district
020608,1994,2413,district
020608,1995,2453,district
020609,1990,3248,district
020609,1991,3315,district
020609,1992,3380,district
020609,1993,3443,district
020609,1994,3506,district
020609,1995,3571,district
020610,1990,2417,district
020610,1991,2486,district
020610,1992,2555,district
020610,1993,2624,district
020610,1994,2690,district
020610,1995,2754,district
020611,1990,2837,district
020611,1991,2870,district
020611,1992,2900,district
020611,1993,2928,district
020611,1994,2956,district
